Number of Temperature Reductions,Current Temperature,C,gamma,epsilon,Metric,Best Metric
0,150.0,754818,1e-20,1e-16,202.2274204273563,199.10204214736987
0,150.0,754818,1e-20,1e-12,202.22742042737067,199.10204214736987
0,150.0,754818,1e-20,1e-17,202.2274204273563,199.10204214736987
0,150.0,754818,1e-20,1e-16,202.2274204273563,199.10204214736987
0,150.0,754818,1e-14,1e-17,202.22575160971772,199.10204214736987
0,150.0,754818,1e-14,1e-20,202.22575160971772,199.10204214736987
0,150.0,754818,1e-13,1e-20,202.21073257606662,199.10204214736987
0,150.0,754818,1e-20,1e-20,202.2274204273563,199.10204214736987
0,150.0,678803,1e-20,1e-20,202.2274204273563,199.10204214736987
0,150.0,886371,1e-20,1e-20,202.22742042759094,199.10204214736987
0,150.0,1000000,1e-20,1e-20,202.22742042759094,199.10204214736987
0,150.0,1000000,1e-20,1e-18,202.22742042759094,199.10204214736987
0,150.0,1000000,1e-20,1e-14,202.22742042759106,199.10204214736987
0,150.0,1000000,1e-20,1e-20,202.22742042759106,199.10204214736987
0,150.0,1000000,1e-20,1e-09,202.2274204419889,199.10204214736987
0,150.0,1000000,1e-20,1e-09,202.2274204419889,199.10204214736987
0,150.0,1000000,1e-17,1e-09,202.22741823701662,199.10204214736987
0,150.0,1000000,1e-17,1e-11,202.2274182227626,199.10204214736987
0,150.0,1000000,1e-17,1e-17,202.22741822261864,199.10204214736987
0,150.0,1,1e-17,1e-17,202.22742042717766,199.10204214736987
0,150.0,1,1e-18,1e-17,202.22742042717965,199.10204214736987
0,150.0,1,1e-16,1e-17,202.2274204271578,199.10204214736987
0,150.0,251299,1e-16,1e-17,202.22741486996074,199.10204214736987
0,150.0,251299,1e-12,1e-17,202.17186487867008,199.10204214736987
0,150.0,171885,1e-12,1e-17,202.1894203641845,199.10204214736987
0,150.0,911391,1e-12,1e-17,202.0259735114203,199.10204214736987
0,150.0,911391,1e-12,1e-20,202.0259735114203,199.10204214736987
0,150.0,851342,1e-12,1e-20,202.03924308635197,199.10204214736987
0,150.0,851342,1e-15,1e-20,202.22723221402106,199.10204214736987
0,150.0,851342,1e-19,1e-20,202.22742047118498,199.10204214736987
0,150.0,1,1e-19,1e-20,202.22742042718005,199.10204214736987
0,150.0,1,1e-20,1e-20,202.22742042717994,199.10204214736987
0,150.0,833114,1e-20,1e-20,202.2274204273563,199.10204214736987
0,150.0,833114,1e-18,1e-20,202.22742017074626,199.10204214736987
0,150.0,833114,1e-18,1e-20,202.22742017074626,199.10204214736987
0,150.0,544938,1e-18,1e-20,202.22742031213292,199.10204214736987
0,150.0,544938,1e-18,1e-18,202.22742031213292,199.10204214736987
0,150.0,509026,1e-18,1e-18,202.22742030185825,199.10204214736987
0,150.0,509026,1e-18,1e-20,202.22742030185825,199.10204214736987
0,150.0,509026,1e-18,0.1,201.5799819792233,199.10204214736987
0,150.0,509026,1e-18,1e-08,202.22742044583802,199.10204214736987
0,150.0,509026,1e-18,1e-13,202.2274203018596,199.10204214736987
0,150.0,481341,1e-18,1e-13,202.22742032602264,199.10204214736987
0,150.0,439843,1e-18,1e-13,202.22742030343105,199.10204214736987
0,150.0,78781,1e-18,1e-13,202.2274204100565,199.10204214736987
0,150.0,158372,1e-18,1e-13,202.2274203916727,199.10204214736987
0,150.0,158372,1e-20,1e-13,202.2274204272254,199.10204214736987
0,150.0,158372,1e-16,1e-13,202.2274169300375,199.10204214736987
0,150.0,158372,1e-12,1e-13,202.1924076599509,199.10204214736987
0,150.0,931018,1e-12,1e-13,202.0216364297979,199.10204214736987
0,150.0,733236,1e-12,1e-13,202.0653433895875,199.10204214736987
