Number of Temperature Reductions,Current Temperature,C,gamma,epsilon,Metric,Best Metric
0,50.0,218679,1e-06,1e-20,1.6822891609723718,1.6822891609723718
0,50.0,174957,1e-06,1e-20,1.5126940369044217,1.5126940369044217
0,50.0,992525,1e-06,1e-20,2.764781086906428,1.5126940369044217
0,50.0,992525,1e-07,1e-20,15.740173421105807,1.5126940369044217
0,50.0,992525,1e-07,1e-13,8.706207622589405,1.5126940369044217
0,50.0,992525,0.0001,1e-13,1724.8263584669835,1.5126940369044217
0,50.0,992525,1e-07,1e-20,1724.8263584669835,1.5126940369044217
0,50.0,100000,1e-07,1e-13,4.540371589124458,1.5126940369044217
0,50.0,834261,1e-07,1e-13,13.732683407073262,1.5126940369044217
0,50.0,919652,1e-07,1e-13,14.901049349160383,1.5126940369044217
0,50.0,919652,1e-07,1e-16,14.959490654761447,1.5126940369044217
0,50.0,100000,1e-07,1e-16,4.540371588807255,1.5126940369044217
0,50.0,872410,1e-07,1e-16,14.744588113427751,1.5126940369044217
0,50.0,971495,1e-07,1e-16,15.70987951650063,1.5126940369044217
0,50.0,971495,1e-05,1e-16,6.10744471472156,1.5126940369044217
0,50.0,971495,1e-19,1e-16,202.22742052556845,1.5126940369044217
0,50.0,971495,1e-05,1e-13,2.2614467699577308,1.5126940369044217
0,50.0,1000000,1e-05,1e-13,4.994626628098403,1.5126940369044217
0,50.0,1000000,1e-05,1e-06,7.559777319646041,1.5126940369044217
0,50.0,1000000,1e-05,0.001,4.896622987550788,1.5126940369044217
0,50.0,1000000,1e-17,0.001,202.24181720418892,1.5126940369044217
0,50.0,1000000,0.0001,0.001,1787.6934471190693,1.5126940369044217
0,50.0,1000000,1e-08,0.001,3.6507470463552942,1.5126940369044217
0,50.0,1000000,1e-07,0.001,15.499477179686977,1.5126940369044217
0,50.0,963352,1e-07,0.001,15.706383538030815,1.5126940369044217
0,50.0,762666,1e-07,0.001,13.827298613279877,1.5126940369044217
0,50.0,762666,1e-07,1e-18,13.672095556338279,1.5126940369044217
0,50.0,762666,1e-07,1e-15,13.813439320915844,1.5126940369044217
0,50.0,964244,1e-07,1e-15,15.628323027374917,1.5126940369044217
0,50.0,762666,1e-13,1e-15,202.2105590660607,1.5126940369044217
0,50.0,762666,1e-06,1e-15,2.2223986522640278,1.5126940369044217
0,50.0,762666,1e-06,1e-08,2.2212854419038126,1.5126940369044217
0,50.0,762666,1e-06,1e-07,1.6771608445106585,1.5126940369044217
0,50.0,734005,1e-06,1e-07,2.1477796108652867,1.5126940369044217
0,50.0,734005,1e-09,1e-07,101.63756024428264,1.5126940369044217
0,50.0,100000,1e-06,1e-07,2.492427356641965,1.5126940369044217
0,50.0,887395,1e-06,1e-07,1.936025365972301,1.5126940369044217
0,50.0,887395,1e-06,1e-20,1.9848868011948138,1.5126940369044217
0,50.0,887395,1e-11,1e-20,200.2703877449783,1.5126940369044217
0,50.0,887395,1e-06,1e-16,2.6632385992846146,1.5126940369044217
0,50.0,887395,1e-06,1e-12,1.9765324043413588,1.5126940369044217
0,50.0,887395,1e-10,1e-12,183.09818326965578,1.5126940369044217
0,50.0,887395,1e-11,1e-12,200.2703877449926,1.5126940369044217
0,50.0,887395,1e-06,1e-06,1.9816502792011992,1.5126940369044217
0,50.0,887395,1e-06,1e-12,1.9816502792011992,1.5126940369044217
0,50.0,887395,1e-06,1e-09,1.9380361399847297,1.5126940369044217
0,50.0,887395,1e-09,1e-09,92.9877640665706,1.5126940369044217
0,50.0,767528,1e-06,1e-09,2.2346536595589694,1.5126940369044217
0,50.0,767528,0.0001,1e-09,1131.8454025486758,1.5126940369044217
0,50.0,767528,1e-06,1e-14,0.6881173870280938,0.6881173870280938
0,50.0,767528,1e-06,1e-12,2.244760021578364,0.6881173870280938
0,50.0,767528,1e-06,1e-15,0.68671418548267,0.68671418548267
0,50.0,630539,1e-06,1e-15,1.9694033154089077,0.68671418548267
0,50.0,767528,1e-06,1e-11,0.6894185570550447,0.68671418548267
0,50.0,508213,1e-06,1e-11,1.0818408191349687,0.68671418548267
0,50.0,508213,1e-06,1e-09,1.09012749248786,0.68671418548267
0,50.0,508213,1e-09,1e-09,118.44375637516941,0.68671418548267
0,50.0,508213,1e-19,1e-09,202.22742049077212,0.68671418548267
0,50.0,508213,1e-08,1e-09,12.356032365500097,0.68671418548267
0,50.0,508213,1e-08,1e-06,12.366160306412812,0.68671418548267
0,50.0,508213,1e-08,1e-09,12.366160306412812,0.68671418548267
0,50.0,508213,1e-08,1e-07,12.356039038421883,0.68671418548267
0,50.0,508213,1e-07,1e-07,7.8768944850400535,0.68671418548267
0,50.0,508213,1e-07,1e-13,7.869638708199303,0.68671418548267
0,50.0,508213,1e-20,1e-13,202.22742042738685,0.68671418548267
0,50.0,812757,1e-07,1e-13,13.976187056724966,0.68671418548267
0,50.0,812757,1e-19,1e-13,202.22742046946232,0.68671418548267
0,50.0,1000000,1e-07,1e-13,14.550776908743176,0.68671418548267
0,50.0,1000000,0.001,1e-13,1270.7311879662668,0.68671418548267
0,50.0,1000000,1e-07,1e-14,14.543961737788695,0.68671418548267
0,50.0,1000000,1e-07,1e-12,14.529592351165984,0.68671418548267
0,50.0,1000000,1e-07,1e-16,14.361829970566859,0.68671418548267
0,50.0,1000000,1e-07,1e-11,14.545104878414453,0.68671418548267
0,50.0,1000000,1e-10,1e-11,180.74088162432153,0.68671418548267
0,50.0,100000,1e-07,1e-11,4.536368173866245,0.68671418548267
0,50.0,100000,1e-06,1e-11,2.477328427945642,0.68671418548267
0,50.0,100000,1e-06,1e-14,2.555784464579254,0.68671418548267
0,50.0,397900,1e-06,1e-14,1.5211925146516256,0.68671418548267
0,50.0,130272,1e-06,1e-14,2.066967750170765,0.68671418548267
0,50.0,130272,0.001,1e-14,190.97311516041563,0.68671418548267
0,50.0,260773,1e-06,1e-14,2.1279122074457186,0.68671418548267
0,50.0,260773,1e-06,1e-11,2.1240919755616985,0.68671418548267
0,50.0,260773,1e-06,1e-05,2.127629178511263,0.68671418548267
0,50.0,470619,1e-06,1e-05,0.816225510247052,0.68671418548267
0,50.0,470619,1e-06,1e-06,0.817172617513165,0.68671418548267
0,50.0,470619,1e-08,1e-06,13.508601472522926,0.68671418548267
