Number of Temperature Reductions,Current Temperature,C,gamma,epsilon,Metric,Best Metric
0,50,741458,1e-06,1e-11,2.160352974908428,2.160352974908428
0,50,768720,1e-06,1e-11,2.238072459568494,2.160352974908428
0,50,768720,0.0001,1e-11,854.1859051301219,2.160352974908428
0,50,768720,1e-06,0.0001,0.6921992205750166,0.6921992205750166
0,50,768720,1e-19,0.0001,202.2288602809451,0.6921992205750166
0,50,768720,1e-06,0.001,2.243367142512931,0.6921992205750166
0,50,768720,1e-06,1e-18,2.2339239561943254,0.6921992205750166
0,50,981351,1e-06,1e-18,0.6776615504834744,0.6776615504834744
0,50,981351,0.01,1e-18,172.3422523503735,0.6776615504834744
0,50,981351,1e-20,1e-18,202.22742042759094,0.6776615504834744
0,50,981351,0.01,1e-18,202.22742042759094,0.6776615504834744
0,50,981351,1e-06,0.01,2.2557091656069117,0.6776615504834744
0,50,981351,1e-06,0.0001,2.6456176320204565,0.6776615504834744
0,50,981351,1e-06,1e-16,0.6787936293648482,0.6776615504834744
0,50,981351,1e-06,1e-20,0.6776615504834744,0.6776615504834744
0,50,1000000,1e-06,1e-20,2.904222502098068,0.6776615504834744
0,50,1000000,1e-11,1e-20,200.02275308466685,0.6776615504834744
0,50,838300,1e-06,1e-20,2.4933911586578326,0.6776615504834744
0,50,838300,1e-06,1e-14,2.484935675886598,0.6776615504834744
0,50,838300,1e-06,1e-20,2.484935675886598,0.6776615504834744
0,50,838300,0.001,1e-14,1192.887978716363,0.6776615504834744
0,50,838300,1e-06,1e-12,2.48190533616235,0.6776615504834744
0,50,838300,1e-06,1e-13,2.481928801678321,0.6776615504834744
0,50,838300,1e-06,1e-18,2.4933911586578326,0.6776615504834744
0,50,838300,1e-18,1e-18,202.22742016844987,0.6776615504834744
0,50,838300,1e-08,1e-18,7.676714798902079,0.6776615504834744
0,50,838300,1e-15,1e-18,202.22723509081348,0.6776615504834744
0,50,838300,1e-08,1e-11,7.69224773673499,0.6776615504834744
0,50,838300,1e-08,1e-17,7.676714798902079,0.6776615504834744
0,50,838300,1e-08,1e-19,7.676714798902079,0.6776615504834744
0,50,838300,1e-08,1e-13,7.675478303691988,0.6776615504834744
0,50,838300,1e-08,1e-09,7.677135149725344,0.6776615504834744
0,50,838300,1e-11,1e-09,200.37840416952065,0.6776615504834744
0,50,838300,1e-08,0.0001,7.6854968889691975,0.6776615504834744
0,50,778080,1e-08,0.0001,8.214871325189206,0.6776615504834744
0,50,549616,1e-08,0.0001,11.287944594156107,0.6776615504834744
0,50,549616,1e-12,0.0001,202.10736455065253,0.6776615504834744
0,50,474046,1e-08,0.0001,13.357673486184533,0.6776615504834744
0,50,201481,1e-08,0.0001,37.98044018670804,0.6776615504834744
0,50,474046,1e-07,0.0001,7.198978521248367,0.6776615504834744
0,50,474046,1e-07,1e-07,7.174823725510021,0.6776615504834744
0,50,474046,1e-07,1e-11,7.187939600746706,0.6776615504834744
0,50,474046,1e-07,1e-06,7.205553358249098,0.6776615504834744
0,50,302607,1e-07,1e-06,6.37534436783168,0.6776615504834744
0,50,355538,1e-07,1e-06,6.956807247760419,0.6776615504834744
0,50,355538,1e-20,1e-06,202.22743482525073,0.6776615504834744
0,50,355538,1e-07,1e-11,6.972300498965072,0.6776615504834744
0,50,355538,1e-07,1e-13,6.962417332370924,0.6776615504834744
0,50,355538,1e-20,1e-13,202.2274204272695,0.6776615504834744
0,50,355538,1e-07,1e-14,6.948711727128869,0.6776615504834744
0,50,243054,1e-07,1e-14,5.2035442303906585,0.6776615504834744
0,50,243054,1e-19,1e-14,202.2274204517772,0.6776615504834744
0,50,865136,1e-07,1e-14,14.77033238973777,0.6776615504834744
0,50,243054,0.01,1e-14,172.20247585891377,0.6776615504834744
0,50,239881,1e-07,1e-14,5.117672351941126,0.6776615504834744
0,50,239881,1e-11,1e-14,201.69742780851865,0.6776615504834744
0,50,394683,1e-07,1e-14,6.4560526968436776,0.6776615504834744
0,50,394683,1e-11,1e-14,201.35578881612653,0.6776615504834744
0,50,394683,1e-08,1e-14,18.175447443824186,0.6776615504834744
0,50,394683,1e-05,1e-14,33.56485453885747,0.6776615504834744
0,50,394683,1e-15,1e-14,202.22733316633727,0.6776615504834744
0,50,686850,1e-08,1e-14,9.857130881151326,0.6776615504834744
0,50,714178,1e-08,1e-14,11.0726644244641,0.6776615504834744
0,50,714178,1e-13,1e-14,202.21163103923013,0.6776615504834744
0,50,714178,0.001,1e-14,1109.8609631737088,0.6776615504834744
0,50,714178,1e-08,1e-16,11.062575881758178,0.6776615504834744
0,50,714178,1e-14,1e-16,202.22584145416207,0.6776615504834744
0,50,714178,1e-08,1e-10,11.07395857077641,0.6776615504834744
0,50,1000000,1e-08,1e-10,3.679596136609564,0.6776615504834744
0,50,1000000,1e-06,1e-10,1.7442771354711262,0.6776615504834744
0,50,656669,1e-06,1e-10,1.446327839179704,0.6776615504834744
0,50,322648,1e-06,1e-10,1.7199196793844673,0.6776615504834744
0,50,322648,1e-19,1e-10,202.2274204537693,0.6776615504834744
0,50,322648,1e-06,1e-12,1.718388064583269,0.6776615504834744
0,50,309997,1e-06,1e-12,2.7044669202098355,0.6776615504834744
0,50,309997,1e-13,1e-12,202.2205667918436,0.6776615504834744
0,50,309997,1e-08,1e-12,26.63434868044128,0.6776615504834744
0,50,659344,1e-06,1e-12,1.4556918696725007,0.6776615504834744
0,50,659344,1e-06,1e-08,1.4279210333771157,0.6776615504834744
0,50,659344,1e-13,1e-08,202.21284346300732,0.6776615504834744
0,50,659344,1e-06,1e-12,202.21284346300732,0.6776615504834744
0,50,659344,1e-11,1e-08,200.77238848762195,0.6776615504834744
0,50,752562,1e-06,1e-08,2.1905579177209673,0.6776615504834744
0,50,752562,0.0001,1e-08,1117.010956894626,0.6776615504834744
0,50,443837,1e-06,1e-08,0.9548391644558608,0.6776615504834744
0,50,328528,1e-06,1e-08,1.6505410511581113,0.6776615504834744
0,50,246440,1e-06,1e-08,1.9652268139020104,0.6776615504834744
0,50,246440,1e-06,1e-20,1.963602543772466,0.6776615504834744
0,50,833430,1e-06,1e-20,1.1334079041713014,0.6776615504834744
0,50,833430,0.0001,1e-20,1414.9186435408715,0.6776615504834744
0,50,100000,1e-06,1e-20,2.546867773537998,0.6776615504834744
0,50,270926,1e-06,1e-20,2.248544352853512,0.6776615504834744
0,50,270926,1e-09,1e-20,148.1760299452696,0.6776615504834744
0,50,270926,1e-06,1e-20,148.1760299452696,0.6776615504834744
0,50,270926,1e-06,1e-16,2.248318620266989,0.6776615504834744
0,50,393300,1e-06,1e-16,1.6149750373385032,0.6776615504834744
0,50,278116,1e-06,1e-16,2.333282396629029,0.6776615504834744
0,50,930493,1e-06,1e-16,1.1366684879135198,0.6776615504834744
0,50,930493,1e-13,1e-16,202.2068487759228,0.6776615504834744
0,50,930493,1e-06,0.01,2.2648030434505815,0.6776615504834744
0,50,216798,1e-07,1e-10,4.6170638213510315,4.6170638213510315
0,50,110697,1e-07,1e-10,4.278432915094422,4.278432915094422
0,50,926473,1e-07,1e-10,14.962605625739334,4.278432915094422
0,50,231955,1e-07,1e-10,4.93709600885691,4.278432915094422
0,50,231955,1e-07,1e-16,4.940783744834347,4.278432915094422
0,50,231955,0.01,1e-16,172.34045517753947,4.278432915094422
0,50,231955,1e-07,1e-11,4.938994557468909,4.278432915094422
0,50,231955,1e-07,1e-05,4.9363155427253504,4.278432915094422
0,50,231955,1e-19,1e-05,202.2275644321715,4.278432915094422
0,50,231955,1e-07,1e-12,4.940994330223831,4.278432915094422
0,50,231955,1e-14,1e-12,202.22690760127455,4.278432915094422
0,50,883932,1e-07,1e-12,14.712819702407034,4.278432915094422
0,50,667857,1e-07,1e-12,9.048250254914391,4.278432915094422
0,50,667857,1e-14,1e-12,202.2259438630963,4.278432915094422
0,50,667857,1e-14,1e-12,202.2259438630963,4.278432915094422
0,50,667857,1e-07,1e-10,9.047308641436015,4.278432915094422
0,50,667857,1e-07,1e-06,9.083013447519447,4.278432915094422
0,50,667857,1e-08,1e-06,10.124864954129494,4.278432915094422
0,50,667857,0.001,1e-06,1059.569051528281,4.278432915094422
0,50,667857,1e-08,1e-08,10.106639990511786,4.278432915094422
0,50,667857,1e-13,1e-08,202.21265526457375,4.278432915094422
0,50,667857,1e-11,1e-08,200.75363749815548,4.278432915094422
0,50,990833,1e-08,1e-08,4.6050823723576055,4.278432915094422
